,seconds_since_midnight_utc,atmospheric_pressure_hpa,hcl_mixing_ratio_ppbv,o3_mixing_ratio_ppbv,date
0,65030,22.0,0.90473,5675.9,20250126
1,65060,22.0,0.93621,5363.5,20250126
2,65090,22.0,0.82442,5502.1,20250126
3,65120,23.0,1.0307,5342.4,20250126
4,65150,23.0,0.9328,5422.0,20250126
5,65180,23.0,0.84286,5307.3,20250126
6,65210,23.0,0.66136,5358.9,20250126
7,65240,23.0,0.89381,5347.8,20250126
8,65270,24.0,0.59039,5333.6,20250126
9,65300,24.0,1.1099,5249.2,20250126
10,65330,24.0,0.85057,5181.7,20250126
11,65360,25.0,0.90055,5199.3,20250126
12,65391,25.0,1.7055,5004.2,20250126
13,65421,26.0,1.5204,4953.2,20250126
14,65451,26.0,0.78591,4791.1,20250126
15,65481,26.0,0.98857,4679.4,20250126
16,65511,27.0,1.2979,4752.0,20250126
17,65541,27.0,1.0708,4672.6,20250126
18,65571,27.0,1.4569,4550.4,20250126
19,65601,27.0,1.088,4558.6,20250126
20,65631,27.0,0.9892,4538.5,20250126
21,65661,27.0,1.0862,4500.6,20250126
22,65691,28.0,0.97969,4538.3,20250126
23,65721,28.0,0.95523,4378.3,20250126
24,65751,28.0,1.1164,4436.7,20250126
25,65781,28.0,1.1297,4360.1,20250126
26,65811,29.0,0.93256,4281.8,20250126
27,65841,29.0,1.0783,4330.6,20250126
28,65871,29.0,1.1272,4351.1,20250126
29,65901,29.0,0.88057,4259.4,20250126
30,65931,30.0,1.3173,4228.6,20250126
31,65961,30.0,1.1073,4120.0,20250126
32,65992,31.0,1.283,4116.0,20250126
33,66022,31.0,1.2984,4021.3,20250126
34,66052,31.0,1.2135,4067.6,20250126
35,66082,32.0,1.2577,3911.1,20250126
36,66112,32.0,1.3148,4007.9,20250126
37,66142,32.0,1.1865,3821.9,20250126
38,66172,33.0,1.0851,3912.3,20250126
39,66202,33.0,1.1896,3774.6,20250126
40,66232,33.0,1.0045,3756.8,20250126
41,66262,34.0,1.148,3789.0,20250126
42,66292,34.0,1.5288,3623.3,20250126
43,66322,34.0,1.323,3631.7,20250126
44,66352,35.0,1.2157,3567.1,20250126
45,66382,35.0,1.2805,3539.1,20250126
46,66412,35.0,1.2142,3501.2,20250126
47,66442,36.0,1.0653,3510.8,20250126
48,66472,36.0,0.91283,3502.5,20250126
49,66502,36.0,1.0073,3380.6,20250126
50,66532,37.0,1.1439,3404.6,20250126
51,66563,37.0,1.4918,,20250126
52,66593,37.0,1.1074,,20250126
53,66623,38.0,0.94291,3270.3,20250126
54,66653,38.0,1.1981,3260.9,20250126
55,66683,39.0,1.1844,3172.1,20250126
56,66713,39.0,1.1841,3219.5,20250126
57,66743,39.0,1.4274,3197.5,20250126
58,66773,40.0,1.1812,3073.8,20250126
59,66803,40.0,1.5416,3078.5,20250126
60,66833,40.0,1.1932,3110.1,20250126
61,66863,40.0,1.147,3026.4,20250126
62,66893,40.0,1.1464,3081.0,20250126
63,66923,41.0,1.0242,2983.2,20250126
64,66953,41.0,1.1067,2928.9,20250126
65,66983,42.0,1.2421,2898.0,20250126
66,67013,42.0,1.1741,2850.5,20250126
67,67043,42.0,1.293,2862.1,20250126
68,67073,43.0,1.2108,2745.3,20250126
69,67103,43.0,1.1965,2614.5,20250126
70,67133,43.0,1.1128,2639.4,20250126
71,67164,43.0,1.2211,2668.6,20250126
72,67194,43.0,1.0201,2688.2,20250126
73,67224,44.0,1.0339,2573.0,20250126
74,67254,44.0,1.1357,2492.6,20250126
75,67284,44.0,1.1353,2417.9,20250126
76,67314,44.0,1.3396,2548.4,20250126
77,67344,45.0,1.2149,2572.5,20250126
78,67374,45.0,1.2891,2496.2,20250126
79,67404,45.0,1.6819,2569.8,20250126
80,67434,45.0,1.191,2547.0,20250126
81,67464,46.0,1.1602,2410.3,20250126
82,67494,46.0,1.1619,2433.6,20250126
83,67524,46.0,1.0008,2471.1,20250126
84,67554,47.0,1.0155,2337.3,20250126
85,67584,47.0,1.2294,2353.5,20250126
86,67614,48.0,1.0943,2407.4,20250126
87,67644,48.0,1.2448,2337.2,20250126
88,67674,48.0,1.1784,2301.0,20250126
89,67704,49.0,1.2134,2265.0,20250126
90,67734,49.0,1.043,2300.3,20250126
